Numéro du puits,Nom du puits,Année forage,Région géologique,Lot,Rang,Canton,Paroisse,Localisation,Latitude (NAD83),Latitude (décimal),Longitude (NAD83),Longitude (décimal),No carte,No permis,Profondeur,Profondeur (en m),Elévation sol,Élévation (en m),Élévation table rotation,Élévation de la table de rotation (en m),Dernière activité de puits,Dernière phase de puits,Statut puits,État du puits,Contenu du puits,Type puits,Détenteur,Partenaires,Opérateur,Implanté sur,Entreprise forage,Type foreuse,Log composite,Confidentiel jusqu'au,Municipalité,Région administrative,Localité
A001,Montréal No 1,1955,A-Basses-Terres (sols consolidés),269,,,Saint-Thimothée,,"45° 16' 42,1""",45.278361,"74° 00' 42,6""",-74.011833,31G08,81447,1762 pi/sol,537.06,163.0 pi/mer,49.68,165.0 pi/mer,50.29,Abandon,n.d.,Abandonné\indices de gaz et pétrole,Abandonné,indices de gaz et pétrole,Puits d'exploration «Wildcat»,A.B. International Prospecting Co.,n.d.,A.B. International Prospecting Co.,n.d.,Parco Drilling and Exploration Ltd.,Câble,Non,,Salaberry-de-Valleyfield,Montérégie,Saint-Timothée
A002,Yamachiche No 1,1953,A-Basses-Terres (sols consolidés),414,Grande Rivière,,Sainte-Anne-de-Yamachiche,,"46° 20' 58,1""",46.349472,"72° 46' 55,4""",-72.782056,31I07,72068,550 pi/sol,167.64,167.0 pi/mer,50.9,169.0 pi/mer,51.51,Forage,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,American & Canadian Oil Syndicate,n.d.,American & Canadian Oil Syndicate,n.d.,Albert Bédard,Câble,Non,,Yamachiche,Mauricie,Yamachiche
A003,"Bald Mountain, Batiscan No 1",1956,A-Basses-Terres (sols consolidés),236,1,,Saint-François-Xavier-de-Batiscan,Comté de Champlain,"46° 28' 22,1""",46.472806,"72° 15' 54,4""",-72.265111,31I08,30781,2198 pi/sol,669.95,19.0 pi/mer,5.79,21.0 pi/mer,6.4,Complétion,n.d.,Complété\gaz,Complété,gaz,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,Câble,Non,,Batiscan,Mauricie,Saint-Pierre-les-Becquets
A003-R1,"Bald Mountain, Batiscan No 1",2002,A-Basses-Terres (sols consolidés),236,1,,Saint-François-Xavier-de-Batiscan,Comté de Champlain,"46° 28' 22,1""",46.472806,"72° 15' 54,4""",-72.265111,31I08-0201,2002PG596,2198 pi/sol,669.95,7.0 pi/sol,2.13,9.0 pi/sol,2.74,Complétion,n.d.,Complété\gaz,Complété,gaz,Puits de développement,Junex Inc.,n.d.,Junex Inc.,n.d.,Foragaz Inc.,Rotative,Non,,Batiscan,Mauricie,Saint-Pierre-les-Becquets
A004,"Bald Mountain, Batiscan No 2",1957,A-Basses-Terres (sols consolidés),236,1,,Saint-François-Xavier-de-Batiscan,Comté de Champlain,"46° 28' 13,1""",46.470306,"72° 15' 43,4""",-72.262056,31I08,30781,3390 pi/sol,1033.27,20.0 pi/mer,6.1,22.0 pi/mer,6.71,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,Câble,Oui,,Batiscan,Mauricie,Saint-Pierre-les-Becquets
A005,"Bald Mountain, Batiscan No 3",1957,A-Basses-Terres (sols consolidés),236,1,,Saint-François-Xavier-de-Batiscan,Comté de Champlain,"46° 28' 40,1""",46.477806,"72° 16' 20,4""",-72.272333,31I08,30781,2955 pi/KB,900.68,26.0 pi/mer,7.92,28.0 pi/mer,8.53,Abandon,n.d.,Abandonné\indices de gaz et pétrole,Abandonné,indices de gaz et pétrole,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Robert McMaster & Sons,Câble,Non,,Batiscan,Mauricie,Saint-Pierre-les-Becquets
A006,"Bald Mountain, Batiscan No 4",1957,A-Basses-Terres (sols consolidés),225,1,,Saint-François-Xavier-de-Batiscan,Comté de Champlain,"46° 28' 32,1""",46.475583,"72° 15' 46,4""",-72.262889,31I08,30781,2500 pi/sol,762.0,18.0 pi/mer,5.49,20.0 pi/mer,6.1,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Robert McMaster & Sons,Câble,Non,,Batiscan,Mauricie,Saint-Pierre-les-Becquets
A007,"Bald Mountain, Batiscan No 5",1957,A-Basses-Terres (sols consolidés),238,1,,Saint-François-Xavier-de-Batiscan,Comté de Champlain,"46° 28' 21,1""",46.472528,"72° 16' 07,4""",-72.268722,31I08,30781,2307 pi/KB,703.17,26.0 pi/mer,7.92,28.0 pi/mer,8.53,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Robert McMaster & Sons,Câble,Non,,Batiscan,Mauricie,Saint-Pierre-les-Becquets
A008,"Bald Mountain, Berthierville No 1",1956,A-Basses-Terres (sols consolidés),28,,,Berthier,,"46° 02' 29,1""",46.041417,"73° 10' 48,5""",-73.180139,31I03,30779,2543 pi/KB,775.11,26.0 pi/mer,7.92,28.0 pi/mer,8.53,Abandon,n.d.,Abandonné\indices de gaz,Abandonné,indices de gaz,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,Câble,Non,,Sainte-Geneviève-de-Berthier,Lanaudière,Tracy
A009,"Bald Mountain, Cap-Santé No 1",1957,A-Basses-Terres (sols consolidés),102,1,,Cap Santé,Comté de Portneuf,"46° 40' 42,1""",46.678361,"71° 47' 01,4""",-71.783722,21L12,30783,954 pi/KB,290.78,219.0 pi/mer,66.75,221.0 pi/mer,67.36,Abandon,n.d.,Abandonné\indices de gaz et pétrole,Abandonné,indices de gaz et pétrole,Puits d'exploration «Wildcat»,Bald Mountain Oil Co.,n.d.,Bald Mountain Oil Co.,n.d.,Logan Brothers Diamond Drilling Ltd.,Carottage minier,Non,,Cap-Santé,Capitale-Nationale,Cap-Santé
